SMILES,pIC50
CC1CCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)CC1,6.54
CCN(CC)CCS/C(=N\O)C(=O)c1ccc(Br)cc1.Cl,3.68
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,7.4
N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCC2)o1,7.1
Cl.N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CC=CCC2)o1,7.02
CN(C)CCS/C(=N\O)C(=O)c1ccc(Br)cc1.Cl,3.15
CCN(CC)CCS/C(=N\O)C(=O)c1ccc(C#N)cc1.Cl,3.74
CNC(NCCNCc1ccc(COC)o1)=C(C#N)C#N,4.7
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,7.22
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,7.15
CNC(NCCNCc1ccc(CN2CCCC2)o1)=C(C#N)C#N,6.55
N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCOCC2)o1,4.96
N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCSCC2)o1,5.82
CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,6.19
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,6.03
CC1CCCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)C1,6.43
CC1CCCC(C)N1Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,5.35
CC[N+](C)(CC)CCS/C(=N\O)C(=O)c1ccc(F)cc1.[Cl-],3.14
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,7.52
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,5.12
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,7.1
CC[N+](C)(CC)CCS/C(=N\O)C(=O)c1ccc(C#N)cc1.[Cl-],3.0
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,6.42
COC1CCCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)C1.Cl,5.48
C[N+](C)(C)CCS/C(=N\O)C(=O)c1ccc(Br)cc1.[I-],3.0
N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCC(O)C2)o1,6.43
C/N=c1\c(O)c(O)\c1=N/CCNCc1ccc(CN2CCCCC2)o1,5.03
CN(C)CCCS/C(=N\O)C(=O)c1ccc(Br)cc1.O=C(O)C(=O)O,3.0
Cl.N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCCCC2)o1,6.92
